INFO 2024-03-19 15:53:27,815 basehttp 8676 11208 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:28,053 basehttp 8676 11208 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:28,290 basehttp 8676 11208 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:28,523 basehttp 8676 11208 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:28,750 basehttp 8676 11208 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:28,980 basehttp 8676 11208 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:29,210 basehttp 8676 11208 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:29,441 basehttp 8676 11208 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:29,726 basehttp 8676 11208 - Broken pipe from ('127.0.0.1', 62029)
INFO 2024-03-19 15:53:30,024 basehttp 8676 8288 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:30,322 basehttp 8676 8288 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:30,628 basehttp 8676 8288 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:30,862 basehttp 8676 8288 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:31,144 basehttp 8676 8288 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:31,368 basehttp 8676 8288 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:31,650 basehttp 8676 8288 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:31,879 basehttp 8676 8288 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:32,118 basehttp 8676 8288 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
